id,category,utility,substation,date_created,order_number,fat_date,landing,status,progress,lead,description,comments,milestones
20,Field Service,Com Ed,Natoma 6,,-,N/A,12/29/25,Active,0,Field Tech,Liquid Level Xmitters (Calibration),- Need to respond to customer,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":false}"
21,Field Service,Southwire,Magella X,9/8/2025,172463,N/A,9/18/125,Active,100,Field Tech,"Installation supervision for RV, regulator, & sealing bushings for MAC HPGF cabinet",Field Service Expected Completion 9/18,"{""fab"":false,""fat"":false,""mat"":false,""ship"":true,""design"":false}"
22,Field Service,Eversource,Glenbrook,10/24/2025,172773,N/A,2/27/2026,Critical,90,Field Tech,"Repair termination tubing (tighten and/or replace fittings), test for leaks; Replace 6 PSs in term. cabinet, replace 6 insulated cplgs",All material released including arc suppressor,"{""fab"":false,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
24,Field Service,Con Edison,Dunwoodie,12/9/2025,173406,N/A,1/30/2026,Done,100,Field Tech,Troubleshoot PP1 UPS & HMI Troubleshoot PP2 lost set points on loss of power,Done,"{""fab"":false,""fat"":false,""mat"":false,""ship"":true,""design"":false}"
25,Field Service,Con Edison,Fresh Kills,12/9/2025,173402,N/A,1/30/2026,Active,0,Field Tech,Troubleshoot PP1 oil migration,,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":false}"
26,Field Service,ONCOR,TOPEKA,12/29/2025,173444,16-Feb,2/19/2026,Critical,0,1 EE & 1 Shop,"Annual Maintenance, replace HMI, replace control board in ASCO XFR switch, replace chart recorder",1 EE & 1 Shop guy needed for field,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":false}"
27,EHV,Taihan,Manhole Racking,4/11/2024,167295,N/A,TBD,Critical,25,TBD,"Replacement Hangers, MAV",Project is delayed. Repeat order; Released 8/11/25,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":true}"
28,EHV,Con Edison,Casing Parts,,171892,,1/29/2026,Active,80,TBD,Casing Parts 574-2234,Repeat order; Released 8/11/25,"{""fab"":true,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
29,EHV,Taihan,O&R Racks,,171905,,20-Nov,Active,20,TBD,"22 Splice, 3 Pull, 304SS",,"{""fab"":false,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
30,EHV,Con Edison,Splice Kit,8/25/2025,172374,,12/15/2025,Done,100,TBD,"Splice Kit 138KV including FM connectors, spiders, LPP Tapes, braids, taper templates; End Plate","Released end plate, casing, splice kit","{""fab"":true,""fat"":true,""mat"":true,""ship"":true,""design"":true}"
31,EHV,Con Edison,Pressure Test Assy,8/25/2025,172375,,2/9/2026,Active,20,TBD,"Pressure Test Assy w/filter bypass, SS pipe stubs, base plate & mounting plate (no diffusion chamber)",,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":true}"
32,EHV,Con Edison,Wye Joint,8/25/2025,172376,,3/9/2026,Active,20,TBD,"Wye Joint, splice kit, includes connectors, crepe paper tapes, braids, taper templates",,"{""fab"":false,""fat"":false,""mat"":false,""ship"":false,""design"":true}"
33,EHV,Taihan,Racking ONCOR,,172459,,12/23/2025,Active,50,TBD,"4 Splice, 4 Terms, 304SS",,"{""fab"":true,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
34,EHV,Taihan,Racking XCEL,,172683,,2/16/2026,Active,50,TBD,"24 Splice, 2 Pull, 316SS",,"{""fab"":true,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
35,EHV,Con Edison,Casing Parts,10/29/2025,172797,,1/14/2026,Active,40,TBD,Casing Parts 574-2234,,"{""fab"":true,""fat"":false,""mat"":true,""ship"":false,""design"":true}"
